Incident/Oil Spill Ref. No.  ,e-PAGE code,Facility/ Equipment  ,  Facility Category  ,Location,Closeby Facility,Area  ,LGA     ,State      ,   Lat (N)   ,   Long (E)   ,Date of Incident/Spill,Date of Incident/Spill Observed ,Time of Incident/Spill,Time of Incident/Spill Observed,Date spill was stopped,Date spill was contained,Time spill was contained, OML/OPL ,Incident/Spill cause       ,Incident/ Spill Category    ,Description of Incident/Spill causes,Incident/Spill responsibility,Est. Qty. Spilled (bbls),Est. Qty. Recovered(bbls)
2013/OS/011,,"24"" Ogoda/Brass Pipeline",PIPELINE (OIL),Egeinkiri,BRASS TERMINAL,SAR,Nembe,Bayelsa State,N 04° 24' 05.7'',E 006° 20' 35.5'',6/1/2013,6/1/2013,,11:43,6/1/2013,,OML 63,,Oil theft,Sabotage,"2 nos. 6"" hose line connected to 8"" pipe installed on the pipeline by unknown person (s)..",Third party,80,25
2013/OS/014,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 08.5'',E 006° 05' 45.8'',8/1/2013,8/1/2013,,18:00,8/1/2013,,OML 63,,Oil theft,Sabotage,"3"" hose & valve installed on pipe by unknown person (s)..",Third party,12,4
2013/OS/015,,AGO Tanker along Port Harcourt-Owerri Federal Highway,AGO Tanker,Omagwa,Port Harcourt,PHC,Ikwerre,Rivers State,N 04° 58' 54.5'',E 006° 54' 56.2'',8/1/2013,8/1/2013,,13:00,8/1/2013,,OML 61,,Road Traffic Accident,Other,,Other,125.8,0
2013/OS/016,,Taylor Creek 2Ls flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 13.1'',E 006° 29' 03.0'',10/1/2013,10/1/2013,,11:23,10/1/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,19.12,TBE
2013/OS/017,,Taylor Creek 2Ss flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 05.0'',E 006° 29' 32.0'',10/1/2013,10/1/2013,,11:23,10/1/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,2,0
2013/OS/019,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 50.7'',E 006° 01' 45.9'',12/1/2013,12/1/2013,,15:43,12/1/2013,,OML 63,,Oil theft,Sabotage,Valve installed on pipe with hose by unknown person (s)..,Third party,20,7
2013/OS/020,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 45.4'',E 006° 01' 54.9'',12/1/2013,12/1/2013,,16:00,12/1/2013,,OML 63,,Oil theft,Sabotage,Valve installed on pipe by unknown person (s)..,Third party,2,1.5
2013/OS/021,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.6'',E 006° 02' 22.8'',12/1/2013,12/1/2013,,16:30,12/1/2013,,OML 63,,Oil theft,Sabotage,"3"" pipe connection with hose installed on pipe by unknown person (s)..",Third party,31,5
2013/OS/022,,Oshie 11Ls flowline,FLOWLINE,Akinima,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 32.3'',E 006° 28' 36.8'',13/01/2013,13/01/2013,,13:00,13/01/2013,,OML 61,,Corrosion,Operation control,Pin hole..,,8,6
2013/OS/023,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lagosgbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 13.6'',E 006° 08' 25.1'',14/01/2013,14/01/2013,,14:30,14/01/2013,,OML 63,,Oil theft,Sabotage,"3"" valve installed with pipe connection on pipe by unknown person (s)..",Third party,12,2
2013/OS/024,,Oshie 11Ls flowline,FLOWLINE,Akinima,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 32.5'',E 006° 28' 36.2'',13/01/2013,13/01/2013,,16:21,13/01/2013,,OML 61,,Corrosion,Operation control,Pin hole.,Company,7.47,2.52
2013/OS/025,,Taylor Creek 2Ls flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 02.8'',E 006° 29' 42.4'',15/01/2013,15/01/2013,,11:02,15/01/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,8.3,2
2013/OS/030,,"14"" Akri/EOC Pipeline",PIPELINE (OIL),Mmahu,AKRI,LAR,Ohaji/Egbema,Imo State,N 05° 32' 11.9'',E 006° 42' 56.6'',22/01/2013,22/01/2013,,13:30,22/01/2013,,OML 61,,Hacksaw cut,Sabotage,,,7.34,2.52
2013/OS/039,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Gbaraun,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 47' 26.8'',E 005° 45' 23.0'',25/01/2013,25/01/2013,,13:40,25/01/2013,,OML 63,,Equipment failure,Operation control,Old clamp failure.,Company,12,0
